Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1982,-0.14,0.16,0.06,0.17,0.09,0.01,0.04,-0.07,0.06,0,-0.11,0.38,0.05,0.07,0.19,0.11,-0.01,-0.02
1983,0.55,0.35,0.42,0.07,0.05,0.11,0.2,0.25,0.26,0.12,0.49,0.11,0.25,0.27,0.42,0.18,0.19,0.29
1984,0.33,0.02,0.18,-0.07,0.23,0.09,0.09,0.06,-0.04,0.09,-0.1,-0.42,0.04,0.08,0.16,0.11,0.08,-0.02
1985,0.07,-0.29,0,-0.03,0.09,0,-0.08,-0.02,0.03,0.02,0.03,0.16,0,-0.05,-0.21,0.02,-0.03,0.03
1986,0.36,0.31,0.26,0.15,0.2,0.14,-0.02,0.04,-0.02,0.09,0.04,0.06,0.13,0.14,0.28,0.2,0.05,0.03
1987,0.25,0.5,0,0.07,0.23,0.16,0.25,0.27,0.39,0.22,0.1,0.51,0.25,0.21,0.27,0.1,0.23,0.24
1988,0.59,0.46,0.47,0.44,0.43,0.4,0.42,0.26,0.26,0.23,0.06,0.43,0.37,0.38,0.52,0.45,0.36,0.18
1989,0.08,0.39,0.45,0.32,0.22,0.24,0.31,0.25,0.24,0.25,0.12,0.33,0.27,0.27,0.3,0.33,0.27,0.2
1990,0.47,0.54,1.16,0.7,0.5,0.48,0.32,0.41,0.42,0.48,0.46,0.38,0.53,0.52,0.45,0.79,0.4,0.45
1991,0.59,0.57,0.45,0.56,0.33,0.47,0.42,0.35,0.35,0.29,0.33,0.2,0.41,0.42,0.52,0.45,0.42,0.32
1992,0.61,0.5,0.54,0.15,0.18,0.04,-0.1,-0.07,-0.18,-0.18,-0.09,0.21,0.14,0.13,0.44,0.29,-0.04,-0.15
1993,0.39,0.52,0.39,0.23,0.32,0.22,0.12,0.02,-0.06,0.12,-0.21,0.22,0.19,0.19,0.37,0.31,0.12,-0.05
1994,0.33,-0.04,0.49,0.48,0.39,0.41,0.33,0.32,0.33,0.54,0.51,0.36,0.37,0.36,0.17,0.45,0.36,0.46
1995,0.75,1.19,0.59,0.71,0.41,0.5,0.37,0.53,0.43,0.6,0.57,0.27,0.58,0.58,0.77,0.57,0.47,0.53
1996,0.26,0.55,0.32,0.17,0.35,0.25,0.29,0.18,0.04,0.05,0.35,0.34,0.26,0.26,0.36,0.28,0.24,0.14
1997,0.34,0.6,0.74,0.49,0.42,0.49,0.41,0.48,0.51,0.63,0.59,0.5,0.52,0.5,0.43,0.55,0.46,0.58
